,FFMC,DMC,DC,ISI
0,-0.8059594724698971,-1.3233255688310948,-1.830476762986049,-0.8609455677111862
1,-0.00810203395015312,-1.1795407723785454,0.48889091543801605,-0.5096882687663313
2,-0.00810203395015312,-1.0498218799267889,0.5607154538443283,-0.5096882687663313
3,0.1913623256797848,-1.2123612150470622,-1.8982662149650404,-0.004755901533102504
4,-0.243832640785532,-0.9310431350312048,-1.798599580210214,0.12696558557121804
5,0.30016106729611275,-0.39966453944569635,-0.24186323654980274,1.246598225957943
6,0.30016106729611275,-0.3434009234425247,-0.21119657970216366,-0.11452380745336965
7,0.15509607847434131,0.5396252721628055,0.2431541520141721,0.36845497859580567
8,0.06443046046073386,0.2911276348154647,0.5837154464800577,-0.443827525214171
9,0.3364273145015562,-0.3574668274433177,0.6079259650439832,-0.4218739440301177
10,0.3364273145015562,-0.3574668274433177,0.6079259650439832,-0.4218739440301177
11,0.3908266853097202,-0.5887728043452448,0.6660312095974044,2.980931139498164
12,-4.922178530287676,-0.6262818816806927,0.4735575870141963,-1.8049495586254833
13,0.04629733685801341,0.24424128814615523,0.5591014192734,-0.443827525214171
14,0.4089598089124432,0.350517007263257,0.6119610514713041,0.03915126083500421
15,0.48149230332332765,0.4739843868257719,0.6696627873819931,1.0709695764855156
16,0.1913623256797848,-1.1732892594893043,-1.8849504297548814,-0.26819887574174367
17,-1.041690079305276,-1.2201756061586138,0.46911899194414364,-1.3219707725763081
18,-0.2619657643882524,-1.2967566390518193,-1.9253012940280907,-0.5975025935025451
19,-0.7878263488671766,-1.3045710301633708,-1.8191785209895504,-0.8609455677111862
20,0.06443046046073386,0.2911276348154647,0.5837154464800577,-0.443827525214171
21,0.20949544928250527,-0.505940258562798,0.7116276862261306,0.03915126083500421
22,0.6628235393505425,-0.22774793499156115,-1.4039681276182279,10.335380836156062
23,-0.08063452836103754,0.00043228546574555033,-0.042529967040149365,-0.6194561746865984
24,0.5177585505287712,0.4458525788241864,0.1866629420316792,2.4759987722649353
25,0.13696295487162086,0.49273892549349596,0.21571556430838956,0.3465013974117523
26,0.31829419089883576,0.10983376102746789,0.48445232036796293,0.6977586963566071
27,0.04629733685801341,0.24424128814615523,0.5591014192734,-0.443827525214171
28,0.49962542692605066,0.5396252721628055,0.6999259355869,-0.2023381321895834
29,0.5177585505287712,0.6005775228329081,0.7289785578636108,-0.2023381321895834
30,0.6628235393505425,-0.402790295890317,0.5825049205518611,1.5100412001665842
31,-0.3707645060045829,-0.2980774549955256,0.6535224416727095,-0.4218739440301177
32,-0.3707645060045829,-0.6434735421261061,0.6410136737480144,-0.7072704994228123
33,0.1913623256797848,-0.5512637270097973,0.6874171676622051,-0.26819887574174367
34,0.20949544928250527,-0.505940258562798,0.7116276862261306,0.03915126083500421
35,-0.06250140475831709,-0.47155693767197093,0.7354346961473244,-0.5975025935025451
36,-0.00810203395015312,-1.1795407723785454,0.48889091543801605,-0.5096882687663313
37,-0.11690077556648104,-1.084205200817616,0.5433645822068485,-0.07061664508526296
38,-0.00810203395015312,-1.0498218799267889,0.5607154538443283,-0.5096882687663313
39,-0.46143012401819034,-1.3311399599426463,-1.9382135705955175,-1.1463421231038808
40,-2.0208787538522377,-0.7856954603563451,-0.7313192201838306,-1.6512744903371095
41,-0.08063452836103754,-0.2183706656576991,0.30771553485130687,-0.026709482717155855
42,0.75348915736415,-0.04020254831432288,0.4001190140369558,1.7515305931911718
